Designação suplemento energético para atletas,Valor energético por porção em kcal,Mínimo de 75% do valor energético em carbo,porcentagem valor energetico,Mínimo de 15g de carbo por porção,carboidrato por porcao – g,Frase em destaque e negrito: este produto não substitui uma alimentação equilibrada e seu consumo deve ser orientado por nutricionista ou médico,"Não podem constar: imagens ou expressões que induzam o consumidor a perda de peso, ganho ou definição de massa muscular e similares",Não podem constar: imagens ou expressões referentes a hormônios e outros,"Sem mencionar expressões massa muscular, queima de gordura, anabólico entre outros",Não pode ser adionado de fibras alimentares,qde de fibras adicionadas - g
Sim,191,Sim,100,Sim,48,Não está em negrito,OK,OK,OK,OK,0
Sim,191,Sim,100,Sim,48,Não está em negrito,OK,OK,OK,OK,0
Sim,151,Sim,98,Sim,37,Sim,OK,OK,OK,OK,0
Sim,142,Sim,100,Sim,36,Não está em negrito,OK,OK,OK,OK,0
Sim,112,Sim,100,Sim,28,Sim,OK,OK,OK,OK,0
Sim,192,Sim,100,Sim,48,Não está em negrito,OK,OK,OK,OK,0
Sim,144,Sim,100,Sim,36,Não está em negrito,OK,OK,OK,Adicionado ,1.2
Não,117,Sim,99,Sim,29,Não está em negrito,OK,OK,OK,OK,0
Sim,144,Sim,100,Sim,36,Sim,OK,OK,OK,OK,0
Sim,136,Sim,100,Sim,34,Não está em negrito,OK,OK,OK,Adicionado ,1.2
Sim,59,Sim,100,Sim,15,Não está em negrito,OK,OK,OK,OK,0
Sim,112,Sim,100,Sim,28,Não está em negrito,OK,OK,OK,OK,0
Sim,101,Sim,99,Sim,25,Não está em negrito,OK,OK,OK,OK,0
Sim,104,Sim,100,Sim,26,Não está em negrito,OK,OK,OK,OK,0
Sim,60,Sim,100,Sim,15,Frase incompleta e sem negrito,OK,OK,OK,OK,0
Não,60,Sim,100,Sim,15,Sim,OK,OK,OK,OK,0
Sim,60,Sim,100,Sim,15,Não está em negrito,OK,OK,OK,OK,0
Sim,20,Sim,100,Não,5,Não está em negrito,OK,OK,OK,OK,0
Sim,80,Sim,100,Sim,20,Não está em negrito,OK,OK,OK,OK,0
Não,72,Sim,100,Sim,18,Frase ausente,OK,OK,OK,OK,0
Sim,80,Sim,100,Sim,20,Não está em negrito,OK,OK,OK,OK,0
Sim,178,Sim,94,Sim,42,Não está em negrito,OK,OK,OK,OK,0
Sim,224,Sim,98,Sim,55,Não está em negrito,OK,OK,OK,OK,0
Sim,72,Sim,100,Sim,18,Não está em negrito,OK,OK,OK,Adicionado ,0.8
Sim,160,Sim,100,Sim,40,Não está em negrito,OK,OK,OK,OK,0
Sim,106,Sim,98,Sim,26,Não está em negrito,OK,OK,OK,OK,0
Não,80,Sim,95,Sim,19,Não está em negrito,OK,OK,OK,OK,0
